title,Publish Time,Mission,Methods,Object,link
Search of strong lens systems in the Dark Energy Survey using convolutional neural networks,2022-12-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022A&A...668A..73R
A deep learning approach for focal-plane wavefront sensing using vortex phase diversity,2022-12-1,Prediction-Regression,NN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2022A&A...668A..36Q
Radio source-component association for the LOFAR Two-metre Sky Survey with region-based convolutional neural networks,2022-12-1,Object Classification,CNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2022A&A...668A..28M
Photometric Redshift Estimates using Bayesian Neural Networks in the CSST Survey,2022-12-1,Prediction-Regression,BNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2022RAA....22k5017Z
A Lightweight Deep Learning Framework for Galaxy Morphology Classification,2022-11-1,Object Classification,CNN:EfficientNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2022RAA....22k5011W
Gravitational Wave Detection Based on Squeeze-and-excitation Shrinkage Networks and Multiple Detector Coherent SNR,2022-11-1,Object Detection,NN:SENet,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2022RAA....22k5008Y
Accelerating multimodal gravitational waveforms from precessing compact binaries with artificial neural networks,2022-11-1,Simulation,NN,Black Hole,https://ui.adsabs.harvard.edu/abs/2022PhRvD.106j4029T
Extracting nuclear matter properties from the neutron star matter equation of state using deep neural networks,2022-11-1,Statistical Inference,NN,Stars,https://ui.adsabs.harvard.edu/abs/2022PhRvD.106j3023F
Deep learning and Bayesian inference of gravitational-wave populations: Hierarchical black-hole mergers,2022-11-1,Simulation,NN,Black Hole,https://ui.adsabs.harvard.edu/abs/2022PhRvD.106j3013M
A machine learning based approach to gravitational lens identification with the International LOFAR Telescope,2022-11-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.1156R
Automatic classification of galaxy morphology based on the RegNetX-CBAM3 algorithm,2022-11-1,Object Classification,NN:RegNetX-CBAM3,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517..808L
Harvesting the Ly \ensuremath\alpha forest with convolutional neural networks,2022-11-1,Object Detection,CNN,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517..755C
Real-time detection of anomalies in large-scale transient surveys,2022-11-1,Anomaly Detection,CNN:TCN,Transient,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517..393M
Discovering faint and high apparent motion rate near-Earth asteroids using a deep learning program,2022-11-1,Object Detection,CNN,Planet,https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.5785W
A machine learning approach to photometric metallicities of giant stars,2022-11-1,Prediction-Regression,NN,Stars,https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.5521F
The merger fraction of post-starburst galaxies in UNIONS,2022-11-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.4354W
The missing radial velocities of Gaia: Blind predictions for DR3,2022-11-1,Prediction-Regression,NN,Stars,https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.3398N
A Machine-learning Approach to Enhancing eROSITA Observations,2022-11-1,Simulation,CNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2022ApJ...940...60S
Physics-informed Machine Learning for Modeling Turbulence in Supernovae,2022-11-1,Simulation,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...940...26K
Charting Galactic Accelerations with Stellar Streams and Machine Learning,2022-11-1,Data Reconstruction,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2022ApJ...940...22N
A Machine Learning Framework to Predict Images of Edge-on Protoplanetary Disks,2022-11-1,Prediction,AE,Planet,https://ui.adsabs.harvard.edu/abs/2022ApJ...939...73T
Inferring Line-of-sight Velocities and Doppler Widths from Stokes Profiles of GST/NIRIS Using Stacked Deep Neural Networks,2022-11-1,Statistical Inference,CNN:SDNN,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJ...939...66J
Deep-learning Reconstruction of Sunspot Vector Magnetic Fields for Forecasting Solar Storms,2022-11-1,Data Reconstruction,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJ...939...64D
Determining the Core Structure and Nuclear Equation of State of Rotating Core-collapse Supernovae with Gravitational Waves by Convolutional Neural Networks,2022-11-1,Prediction-Regression,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...939...13C
DELIGHT: Deep Learning Identification of Galaxy Hosts of Transients using Multiresolution Images,2022-11-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022AJ....164..195F
MAGIC: Microlensing Analysis Guided by Intelligent Computation,2022-11-1,Statistical Inference,Unet,Planet,https://ui.adsabs.harvard.edu/abs/2022AJ....164..192Z
FarNet-II: An improved solar far-side active region detection method,2022-11-1,Object Detection,CNN:ConvLSTM,Solar,https://ui.adsabs.harvard.edu/abs/2022A&A...667A.132B
Galaxies and haloes on graph neural networks: Deep generative modelling scalar and vector quantities for intrinsic alignment,2022-11-1,Simulation,GNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.2406J
A photometry pipeline for SDSS images based on convolutional neural networks,2022-11-1,Data Processing,CNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2022MNRAS.516..264S
Time-delay estimation in unresolved lensed quasars,2022-10-1,Prediction-Regression,CNN:Conv1D,Quasars,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.5665B
Photometric redshifts from SDSS images with an interpretable deep capsule network,2022-10-1,Prediction-Regression,CNN:Encoder-Decoder,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.5285D
Forecasting the solar cycle 25 using a multistep Bayesian neural network,2022-10-1,Prediction,BNN,Solar,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.5062B
WISE-PS1-STRM: neural network source classification and photometric redshifts for WISE\texttimesPS1,2022-10-1,Object Classification,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.4711B
Improved AI-generated Solar Farside Magnetograms by STEREO and SDO Data Sets and Their Release,2022-10-1,Generation,CNN:Pix2PixCC,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJS..262...50J
A Dynamic Deep-learning Model for Generating a Magnetogram Sequence from an SDO/AIA EUV Image Sequence,2022-10-1,Generation,GAN:convGRU-pix2pix,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJS..262...45S
Deep Learning-based Search for Microlensing Signature from Binary Black Hole Events in GWTC-1 and -2,2022-10-1,Object Classification,CNN,Black Hole,https://ui.adsabs.harvard.edu/abs/2022ApJ...938..157K
Variable Star Classification with a Multiple-input Neural Network,2022-10-1,Object Classification,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...938...37S
Predicting the Stability of Hierarchical Triple Systems with Convolutional Neural Networks,2022-10-1,Prediction,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...938...18L
Accelerated Bayesian SED Modeling Using Amortized Neural Posterior Estimation,2022-10-1,Simulation,Flow:Masked Autoregressive Flow,Galaxies,https://ui.adsabs.harvard.edu/abs/2022ApJ...938...11H
Learning Cosmology and Clustering with Cosmic Graphs,2022-10-1,Statistical Inference,GNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2022ApJ...937..115V
Generation of Solar Coronal White-light Images from SDO/AIA EUV Images by Deep Learning,2022-10-1,Generation,GAN:cGAN,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJ...937..111L
Exploring the Limits of Synthetic Creation of Solar EUV Images via Image-to-image Translation,2022-10-1,Generation,Unet,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJ...937..100S
The AGEL Survey: Spectroscopic Confirmation of Strong Gravitational Lenses in the DES and DECaLS Fields Selected Using Convolutional Neural Networks,2022-10-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022AJ....164..148T
Inferring properties of dust in supernovae with neural networks,2022-10-1,Prediction,NN:MLP,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2022A&A...666A.176A
ULISSE: A tool for one-shot sky exploration and its application for detection of active galactic nuclei,2022-10-1,Object Detection,CNN,AGN,https://ui.adsabs.harvard.edu/abs/2022A&A...666A.171D
Calibration scheme for space-borne full-disk vector magnetograph under the influence of orbiter velocity,2022-10-1,Prediction,CNN:ResNet,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2022A&A...666A..93H
CENN: A fully convolutional neural network for CMB recovery in realistic microwave sky simulations,2022-10-1,Data Processing,Unet,Cosmology,https://ui.adsabs.harvard.edu/abs/2022A&A...666A..89C
Galaxy morphoto-Z with neural Networks (GaZNets). I. Optimized accuracy and outlier fraction from imaging and photometry,2022-10-1,Prediction-Regression,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022A&A...666A..85L
Neural networks and PCA coefficients to identify and correct aberrations in adaptive optics,2022-10-1,Prediction,NN:MLP,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2022A&A...666A..70T
Strong lensing in UNIONS: Toward a pipeline from discovery to modeling,2022-10-1,Object Detection,CNN:EfficientNet,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022A&A...666A...1S
Galaxy deblending using residual dense neural networks,2022-9-1,Data Processing,CNN:ResNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2022PhRvD.106f3023W
Boosting the efficiency of parametric detection with hierarchical neural networks,2022-9-1,Data Processing,NN:HDN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022PhRvD.106f3008Y
Classification of cosmic structures for galaxies with deep learning: connecting cosmological simulations with observations,2022-9-1,Object Classification,CNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.4065I
Machine learning for galactic archaeology: a chemistry-based neural network method for identification of accreted disc stars,2022-9-1,Object Detection,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.3818T
Determining active galactic nucleus luminosity histories using present-day outflow properties: a neural network-based approach,2022-9-1,Prediction,NN:MLP,AGN,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.1705Z
Deep forest: neural network reconstruction of intergalactic medium temperature,2022-9-1,Data Reconstruction,CNN,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.1568W
Deep learning unresolved lensed light curves,2022-9-1,Data Processing,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515..977D
Realistic galaxy images and improved robustness in machine learning tasks from generative modelling,2022-9-1,Generation,GAN:VAE+StyleGAN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515..652H
Likelihood-free Inference with the Mixture Density Network,2022-9-1,Statistical Inference,NN:MDN,Cosmology,https://ui.adsabs.harvard.edu/abs/2022ApJS..262...24W
The Quasar Luminosity Function at z  5 via Deep Learning and Bayesian Information Criterion,2022-9-1,Object Detection,NN:MLP,Quasars,https://ui.adsabs.harvard.edu/abs/2022ApJ...937...32S
A New Census of the 0.2 < z < 3.0 Universe. II. The Star-forming Sequence,2022-9-1,Statistical Inference,Flow:Normalizing Flow,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...936..165L
Using Bayesian Deep Learning to Infer Planet Mass from Gaps in Protoplanetary Disks,2022-9-1,Prediction-Regression,BNN,Planet,https://ui.adsabs.harvard.edu/abs/2022ApJ...936...93A
X-Ray Redshifts of Obscured Chandra Source Catalog Active Galactic Nuclei,2022-9-1,Prediction-Regression,NN:MLP,AGN,https://ui.adsabs.harvard.edu/abs/2022ApJ...936...39S
A Reliable Calibration of H II Galaxies Hubble Diagram with Cosmic Chronometers and Artificial Neural Network,2022-9-1,Data Processing,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2022ApJ...936...21Z
Convolutional neural network for gravitational-wave early alert: Going down in frequency,2022-8-1,Object Detection,CNN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2022PhRvD.106d2002B
The dark energy survey 5-yr photometrically identified type Ia supernovae,2022-8-1,Object Classification,BNN,Stars,https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.5159M
Estimating atmospheric parameters from LAMOST low-resolution spectra with low SNR,2022-8-1,Statistical Inference,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.4588L
AGN X-ray spectroscopy with neural networks,2022-8-1,Prediction-Regression,NN:MLP,AGN,https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.4061P
The scatter in the galaxy-halo connection: a machine learning analysis,2022-8-1,Prediction,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.4026S
Primordial non-Gaussianity from the completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey II: measurements in Fourier space with optimal weights,2022-8-1,Data Processing,NN:MLP,Quasars,https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.3396M
Star formation characteristics of CNN-identified post-mergers in the Ultraviolet Near Infrared Optical Northern Survey (UNIONS),2022-8-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.3294B
Deep radio-interferometric imaging with POLISH: DSA-2000 and weak lensing,2022-8-1,Image Refinement,CNN:ResNet,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.2614C
A Model RRNet for Spectral Information Exploitation and LAMOST Medium-resolution Spectrum Parameter Estimation,2022-8-1,Prediction-Regression,CNN:CNN+RNN,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJS..261...36X
Photometric Metallicity Prediction of Fundamental-mode RR Lyrae Stars in the Gaia Optical and K $_ s $ Infrared Wave Bands by Deep Learning,2022-8-1,Prediction-Regression,LSTM,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJS..261...33D
Star Cluster Formation and Evolution in M101: An Investigation with the Legacy Extragalactic UV Survey,2022-8-1,Object Detection,CNN,Star Clusters,https://ui.adsabs.harvard.edu/abs/2022ApJ...935..166L
GaMPEN: A Machine-learning Framework for Estimating Bayesian Posteriors of Galaxy Morphological Parameters,2022-8-1,Statistical Inference,BNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022ApJ...935..138G
Convolutional Neural Networks for Searching Superflares from Pixel-level Data of the Transiting Exoplanet Survey Satellite,2022-8-1,Object Detection,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJ...935...90T
Inferring Halo Masses with Graph Neural Networks,2022-8-1,Prediction-Regression,GNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022ApJ...935...30V
Improving Astronomical Time-series Classification via Data Augmentation with Generative Adversarial Networks,2022-8-1,Generation,GAN,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...935...23G
"Predicting the Geoeffectiveness of CMEs Using Machine Learning
",2022-8-1,Prediction,NN:MLP,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJ...934..176P
Identifying Exoplanets with Deep Learning. IV. Removing Stellar Activity Signals from Radial Velocity Measurements Using Neural Networks,2022-8-1,Prediction-Regression,NN:MLP and Conv1D,Planet,https://ui.adsabs.harvard.edu/abs/2022AJ....164...49D
Deep learning-based imaging in radio interferometry,2022-8-1,Data Reconstruction,CNN:ResNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2022A&A...664A.134S
O'TRAIN: A robust and flexible `real or bogus' classifier for the study of the optical transient sky,2022-8-1,Object Classification,CNN,Transient,https://ui.adsabs.harvard.edu/abs/2022A&A...664A..81M
Toward on-sky adaptive optics control using reinforcement learning. Model-based policy optimization for adaptive optics,2022-8-1,Optimization,RL,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2022A&A...664A..71N
Exoplanet cartography using convolutional neural networks,2022-8-1,Object Detection,CNN,Planet,https://ui.adsabs.harvard.edu/abs/2022A&A...664A..59M
Revisiting the Pushchino RRAT search using a neural network,2022-8-1,Object Detection,LSTM,Stars,https://ui.adsabs.harvard.edu/abs/2022A&A...664A..37T
Spatio-temporal analysis of chromospheric heating in a plage region,2022-8-1,Prediction,NN:MLP,Solar,https://ui.adsabs.harvard.edu/abs/2022A&A...664A...8M
Finding strong gravitational lenses through self-attention. Study based on the Bologna Lens Challenge,2022-8-1,Object Detection,Transformer,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022A&A...664A...4T
Assessing the impact of non-Gaussian noise on convolutional neural networks that search for continuous gravitational waves,2022-7-1,Object Detection,CNN:Conv1D,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2022PhRvD.106b4025Y
Fast sky localization of gravitational waves using deep learning seeded importance sampling,2022-7-1,Prediction,CNN:Conv1D,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2022PhRvD.106b3032K
Using machine learning to identify extragalactic globular cluster candidates from ground-based photometric surveys of M87,2022-7-1,Object Detection,NN:MLP,Star Clusters,https://ui.adsabs.harvard.edu/abs/2022MNRAS.514..943B
Eliminating Primary Beam Effect in Foreground Subtraction of Neutral Hydrogen Intensity Mapping Survey with Deep Learning,2022-7-1,Data Reconstruction,Unet,Cosmology,https://ui.adsabs.harvard.edu/abs/2022ApJ...934...83N
Data-driven Derivation of Stellar Properties from Photometric Time Series Data Using Convolutional Neural Networks,2022-7-1,Prediction-Regression,CNN:Conv1D,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...933..241B
Stellar mass and radius estimation using artificial intelligence,2022-7-1,Prediction-Regression,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2022A&A...663A.112M
Evaluating the feasibility of interpretable machine learning for globular cluster detection,2022-7-1,Object Detection,NN:MLP,Star Clusters,https://ui.adsabs.harvard.edu/abs/2022A&A...663A..81D
ShapeNet: Shape constraint for galaxy image deconvolution,2022-7-1,Data Reconstruction,Unet,Galaxies,https://ui.adsabs.harvard.edu/abs/2022A&A...663A..69N
Galaxy Spectra Neural Networks (GaSNets). I. Searching for Strong Lens Candidates in eBOSS Spectra Using Deep Learning,2022-6-1,Object Detection,CNN:Conv1D,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022RAA....22f5014Z
Detecting gravitational waves from extreme mass ratio inspirals using convolutional neural networks,2022-6-1,Object Detection,CNN:Conv1D,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2022PhRvD.105l3027Z
"Machine learning for fast transients for the Deeper, Wider, Faster programme with the Removal Of BOgus Transients (ROBOT) pipeline",2022-6-1,Data Processing,CNN,Transient,https://ui.adsabs.harvard.edu/abs/2022MNRAS.513.1742G
Predicting the black hole mass and correlations in X-ray reverberating AGNs using neural networks,2022-6-1,Prediction-Regression,NN:MLP,AGN,https://ui.adsabs.harvard.edu/abs/2022MNRAS.513..648C
Emulating Sunyaev-Zeldovich images of galaxy clusters using autoencoders,2022-6-1,Generation,VAE:cVAE,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.513..333R
Black hole weather forecasting with deep learning: a pilot study,2022-6-1,Prediction,Unet,Black Hole,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.5848D
Legacy Survey of Space and Time cadence strategy evaluations for active galactic nucleus time-series data in Wide-Fast-Deep field,2022-6-1,Prediction-Regression,RNN:sRNN,AGN,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.5580S
Extracting the 21-cm power spectrum and the reionization parameters from mock data sets using artificial neural networks,2022-6-1,Prediction-Regression,NN:MLP,Cosmology,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.5010C
Identification of New Classical Be Stars from the LAMOST Medium Resolution Survey,2022-6-1,Object Detection,CNN:ResNet,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJS..260...35W
Searching for Anomalies in the ZTF Catalog of Periodic Variable Stars,2022-6-1,Anomaly Detection,VAE,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...932..118C
Mining for Strong Gravitational Lenses with Self-supervised Learning,2022-6-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022ApJ...932..107S
\ensuremath\alpha-deep Probabilistic Inference (\ensuremath\alpha-DPI): Efficient Uncertainty Quantification from Exoplanet Astrometry to Black Hole Feature Extraction,2022-6-1,Statistical Inference,Flow:Normalizing Flow,Black Hole,https://ui.adsabs.harvard.edu/abs/2022ApJ...932...99S
Searching for Broadband Pulsed Beacons from 1883 Stars Using Neural Networks,2022-6-1,Object Detection,CNN,Planet,https://ui.adsabs.harvard.edu/abs/2022ApJ...932...81G
Predicting Solar Flares Using CNN and LSTM on Two Solar Cycles of Active Region Data,2022-6-1,Prediction,LSTM:LSTM+CNN,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJ...931..163S
Li-rich Giants in LAMOST Survey. III. The Statistical Analysis of Li-rich Giants,2022-6-1,Prediction-Regression,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...931..136Z
Correlated Read Noise Reduction in Infrared Arrays Using Deep Learning,2022-6-1,Prediction-Regression,CNN:CNN+GRU,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2022AJ....163..292P
Convolutional neural networks as an alternative to Bayesian retrievals for interpreting exoplanet transmission spectra,2022-6-1,Prediction-Regression,CNN:Conv1D,Planet,https://ui.adsabs.harvard.edu/abs/2022A&A...662A.108A
Implementation paradigm for supervised flare forecasting studies: A deep learning application with video data,2022-6-1,Prediction,CNN:CNN+LSTM(LRCN),Solar,https://ui.adsabs.harvard.edu/abs/2022A&A...662A.105G
Convolutional neural network-reconstructed velocity for kinetic SZ detection,2022-6-1,Prediction-Regression,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022A&A...662A..48T
Photometric redshift estimation with convolutional neural networks and galaxy images: Case study of resolving biases in data-driven methods,2022-6-1,Prediction-Regression,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022A&A...662A..36L
Classifying Galaxy Morphologies with Few-shot Learning,2022-5-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022RAA....22e5002Z
Discovering the building blocks of dark matter halo density profiles with neural networks,2022-5-1,Prediction,VAE,Cosmology,https://ui.adsabs.harvard.edu/abs/2022PhRvD.105j3533L
Extracting photometric redshift from galaxy flux and image data using neural networks in the CSST survey,2022-5-1,Prediction-Regression,CNN:InceptionNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.4593Z
What drives the scatter of local star-forming galaxies in the BPT diagrams? A Machine Learning based analysis,2022-5-1,Prediction-Regression,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.4136C
Estimating cluster masses from SDSS multiband images with transfer learning,2022-5-1,Prediction-Regression,CNN:ResNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3885L
Detecting gravitational lenses using machine learning: exploring interpretability and sensitivity to rare lensing configurations,2022-5-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3464W
A robust RFI identification for radio interferometry based on a convolutional neural network,2022-5-1,Object Detection,CNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.2025S
Deep learning methods for obtaining photometric redshift estimations from images,2022-5-1,Prediction-Regression,CNN:InceptionNet,Cosmology,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.1696H
Decomposition of stellar populations in CosmoDC2 galaxies using SCARLET and Deep Learning,2022-5-1,Prediction,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.1045K
Emission-line diagnostics of H II regions using conditional invertible neural networks,2022-5-1,Prediction-Regression,CNN:cINN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.512..617K
Time-domain Deep-learning Filtering of Structured Atmospheric Noise for Ground-based Millimeter Astronomy,2022-5-1,Denoising,LSTM,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2022ApJS..260...15R
Recovering the CMB Signal with Machine Learning,2022-5-1,Data Reconstruction,Unet,Cosmology,https://ui.adsabs.harvard.edu/abs/2022ApJS..260...13W
Decreasing False-alarm Rates in CNN-based Solar Flare Prediction Using SDO/HMI Data,2022-5-1,Feature Extraction/Dim Reduction/Cluster,CNN:VGG,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJS..260....9D
Selection of the Main Control Parameters for the Dst Index Prediction Model Based on a Layer-wise Relevance Propagation Method,2022-5-1,Prediction-Regression,LSTM,Solar,https://ui.adsabs.harvard.edu/abs/2022ApJS..260....6L
A Simulation-driven Deep Learning Approach for Separating Mergers and Star-forming Galaxies: The Formation Histories of Clumpy Galaxies in All of the CANDELS Fields,2022-5-1,Image Segmentation,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022ApJ...931...34F
NECOLA: Toward a Universal Field-level Cosmological Emulator,2022-5-1,Simulation,CNN:V-Net,Cosmology,https://ui.adsabs.harvard.edu/abs/2022ApJ...930..115K
21cmVAE: A Very Accurate Emulator of the 21 cm Global Signal,2022-5-1,Generation,VAE,Cosmology,https://ui.adsabs.harvard.edu/abs/2022ApJ...930...79B
Spectroscopic Studies of Type Ia Supernovae Using LSTM Neural Networks,2022-5-1,Data Reconstruction,LSTM,Stars,https://ui.adsabs.harvard.edu/abs/2022ApJ...930...70H
Starduster: A Multiwavelength SED Model Based on Radiative Transfer Simulations and Deep Learning,2022-5-1,Simulation,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2022ApJ...930...66Q
Shallow Transits-Deep Learning. II. Identify Individual Exoplanetary Transits in Red Noise using Deep Learning,2022-5-1,Object Detection,Unet,Planet,https://ui.adsabs.harvard.edu/abs/2022AJ....163..237D
Hunting for open clusters in Gaia EDR3: 628 new open clusters found with OCfinder,2022-5-1,Object Detection,CNN,Star Clusters,https://ui.adsabs.harvard.edu/abs/2022A&A...661A.118C
North Ecliptic Pole merging galaxy catalogue,2022-5-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022A&A...661A..52P
Full w CDM analysis of KiDS-1000 weak lensing maps using deep learning,2022-4-1,Statistical Inference,GNN:CGNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2022PhRvD.105h3518F
Ensemble of deep convolutional neural networks for real-time gravitational wave signal recognition,2022-4-1,Object Detection,CNN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2022PhRvD.105h3013M
Machine learning algorithm for minute-long burst searches,2022-4-1,Anomaly Detection,Unet,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2022PhRvD.105h3007B
Vetting asteroseismic \ensuremath\Delta\ensuremath\nu measurements using neural networks,2022-4-1,Anomaly Detection,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5578R
Galaxy classification: a deep learning approach for classifying Sloan Digital Sky Survey images,2022-4-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5120G
Explaining deep learning of galaxy morphology with saliency mapping,2022-4-1,Explainable AI,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5032B
Fraction of broad absorption line quasars in different radio morphologies,2022-4-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4946N
Deep learning in searching the spectroscopic redshift of quasars,2022-4-1,Prediction-Regression,CNN:ResNet+Conv1D,Quasars,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4490R
MATRYOSHKA: halo model emulator for the galaxy power spectrum,2022-4-1,Simulation,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.3768D
Inferring astrophysics and dark matter properties from 21 cm tomography using deep learning,2022-4-1,Statistical Inference,CNN:CNN3D,Dark Matter,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.3446N
The edge-on Galaxies in the Pan-STARRS survey (EGIPS),2022-4-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.3063M
