title,Publish Time,Mission,Methods,Object,link
Artificial Intelligence-Assisted Inversion (AIAI) of Synthetic Type Ia Supernova Spectra,2020-9-1,Prediction,CNN:ResNet,Stars,https://ui.adsabs.harvard.edu/abs/2020ApJS..250...12C
MANTRA: A Machine-learning Reference Light-curve Data Set for Astronomical Transient Event Recognition,2020-9-1,Object Detection,NN:MLP,Transient,https://ui.adsabs.harvard.edu/abs/2020ApJS..250...11N
Identifying and Tracking Solar Magnetic Flux Elements with Deep Learning,2020-9-1,Image Segmentation,Unet,Solar,https://ui.adsabs.harvard.edu/abs/2020ApJS..250....5J
"Connecting Optical Morphology, Environment, and H I Mass Fraction for Low-redshift Galaxies Using Deep Learning",2020-9-1,Prediction-Regression,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2020ApJ...900..142W
Mass Estimation of Galaxy Clusters with Deep Learning. I. Sunyaev-Zel'dovich Effect,2020-9-1,Prediction-Regression,CNN:ResUnet,Galaxies,https://ui.adsabs.harvard.edu/abs/2020ApJ...900..110G
Identifying Magnetic Reconnection in 2D Hybrid Vlasov Maxwell Simulations with Convolutional Neural Networks,2020-9-1,Object Detection,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2020ApJ...900...86H
A Machine Learning Model to Infer Planet Masses from Gaps Observed in Protoplanetary Disks,2020-9-1,Prediction-Regression,NN:MLP,Planet,https://ui.adsabs.harvard.edu/abs/2020ApJ...900...62A
Bars formed in galaxy merging and their classification with deep learning,2020-9-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2020A&A...641A..77C
Deep learning for a space-variant deconvolution in galaxy surveys,2020-9-1,Data Reconstruction,Unet,Galaxies,https://ui.adsabs.harvard.edu/abs/2020A&A...641A..67S
Detection and classification of supernova gravitational wave signals: A deep learning approach,2020-8-1,Object Detection,CNN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2020PhRvD.102d3022C
Predicting dark matter halo formation in N-body simulations with deep regression networks,2020-8-1,Prediction-Regression,Unet,Galaxies,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.5116B
Stellar spectral interpolation using machine learning,2020-8-1,Prediction-Regression,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.5002S
Spin parity of spiral galaxies II: a catalogue of 80 k spiral galaxies using big data from the Subaru Hyper Suprime-Cam survey and deep learning,2020-8-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.4276T
Multiwavelength classification of X-ray selected galaxy cluster candidates using convolutional neural networks,2020-8-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.4141K
deepSIP: linking Type Ia supernova spectra to photometric quantities with deep learning,2020-8-1,Prediction-Regression,CNN:Conv1D,Stars,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3553S
ECoPANN: A Framework for Estimating Cosmological Parameters Using Artificial Neural Networks,2020-8-1,Statistical Inference,NN:MLP,Cosmology,https://ui.adsabs.harvard.edu/abs/2020ApJS..249...25W
Reliable Probability Forecast of Solar Flares: Deep Flare Net-Reliable (DeFN-R),2020-8-1,Prediction,NN:MLP,Solar,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..150N
Pulsar Candidate Sifting Using Multi-input Convolution Neural Networks,2020-8-1,Object Detection,CNN:MICNN,Stars,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..104L
New High-quality Strong Lens Candidates with Deep Learning in the Kilo-Degree Survey,2020-8-1,Object Detection,CNN:ResNet,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2020ApJ...899...30L
Extracting the Cold Neutral Medium from H I Emission with Deep Learning: Implications for Galactic Foregrounds at High Latitude,2020-8-1,Prediction-Regression,CNN:Conv1D,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2020ApJ...899...15M
Extremely Metal-poor Representatives Explored by the Subaru Survey (EMPRESS). I. A Successful Machine-learning Selection of Metal-poor Galaxies and the Discovery of a Galaxy with M* < 10$^6$ M$_\ensuremath\odot$ and 0.016 Z$_\ensuremath\odot$,2020-8-1,Object Classification,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..142K
